Pays,Serie,Valeurs 2017
Botswana,"Coût des procédures d’exportation, formalités documentaires (USD)",179.2308
Botswana,"Coût des procédures d’exportation, formalités douanières (USD)",316.5385
Botswana,Exportations de biens et de services ($ US courants),6912354794
Botswana,Exportations de marchandises ($ US courants),5870000000
Botswana,Exportations de nourriture (% des marchandises exportées),1.755247432
Botswana,Indice de la valeur des exportations (2000=100),220.7158263
Botswana,Indice du volume des exportations (2000=100),168.2268776
Brésil,"Coût des procédures d’importation, formalités documentaires (USD)",106.9444
Brésil,"Coût des procédures d’importation, formalités douanières (USD)",821.7391
Brésil,Importations de biens et de services ($ US courants),2.44E+11
Brésil,Importations de marchandises ($ US courants),1.58E+11
Brésil,Importations de nourriture (% des marchandises importées),6.31644687
Brésil,Indice de la valeur des importations (2000=100),268.6464415
Brésil,Indice du volume des importations (2000=100),182.2029113
Brésil,"Coût des procédures d’exportation, formalités documentaires (USD)",226.3889
Brésil,"Coût des procédures d’exportation, formalités douanières (USD)",861.9565
Brésil,Exportations de biens et de services ($ US courants),2.58E+11
Brésil,Exportations de marchandises ($ US courants),2.18E+11
Brésil,Exportations de nourriture (% des marchandises exportées),36.10042107
Brésil,Indice de la valeur des exportations (2000=100),395.0354932
Brésil,Indice du volume des exportations (2000=100),230.8527606
Brunéi Darussalam,"Coût des procédures d’importation, formalités documentaires (USD)",50
Brunéi Darussalam,"Coût des procédures d’importation, formalités douanières (USD)",395
Brunéi Darussalam,Importations de biens et de services ($ US courants),4318030705
Brunéi Darussalam,Importations de marchandises ($ US courants),3085000000
Brunéi Darussalam,Importations de nourriture (% des marchandises importées),15.00797339
Brunéi Darussalam,Indice de la valeur des importations (2000=100),278.6390244
Brunéi Darussalam,Indice du volume des importations (2000=100),200.2201461
Brunéi Darussalam,"Coût des procédures d’exportation, formalités documentaires (USD)",90
Brunéi Darussalam,"Coût des procédures d’exportation, formalités douanières (USD)",340
Brunéi Darussalam,Exportations de biens et de services ($ US courants),6012294735
Brunéi Darussalam,Exportations de marchandises ($ US courants),5571000000
Brunéi Darussalam,Exportations de nourriture (% des marchandises exportées),0.192164608
Brunéi Darussalam,Indice de la valeur des exportations (2000=100),142.7327816
Brunéi Darussalam,Indice du volume des exportations (2000=100),72.23982986
Bulgarie,"Coût des procédures d’importation, formalités documentaires (USD)",0
Bulgarie,"Coût des procédures d’importation, formalités douanières (USD)",0
Bulgarie,Importations de biens et de services ($ US courants),37107398444
Bulgarie,Importations de marchandises ($ US courants),34184000000
Bulgarie,Importations de nourriture (% des marchandises importées),10.03907289
Bulgarie,Indice de la valeur des importations (2000=100),522.4012991
Bulgarie,Indice du volume des importations (2000=100),307.0404132
Bulgarie,"Coût des procédures d’exportation, formalités documentaires (USD)",51.66667
Bulgarie,"Coût des procédures d’exportation, formalités douanières (USD)",55
Bulgarie,Exportations de biens et de services ($ US courants),39660430424
Bulgarie,Exportations de marchandises ($ US courants),31438000000
Bulgarie,Exportations de nourriture (% des marchandises exportées),14.60934266
Bulgarie,Indice de la valeur des exportations (2000=100),647.9667389
Bulgarie,Indice du volume des exportations (2000=100),342.9479209
Burkina Faso,"Coût des procédures d’importation, formalités documentaires (USD)",196.5
Burkina Faso,"Coût des procédures d’importation, formalités douanières (USD)",264.5
Burkina Faso,Importations de biens et de services ($ US courants),4629394615
Burkina Faso,Importations de marchandises ($ US courants),3861000000
Burkina Faso,Importations de nourriture (% des marchandises importées),12.20101616
Burkina Faso,Indice de la valeur des importations (2000=100),639.0134334
Burkina Faso,Indice du volume des importations (2000=100),425.5648489
Burkina Faso,"Coût des procédures d’exportation, formalités documentaires (USD)",85.5
Burkina Faso,"Coût des procédures d’exportation, formalités douanières (USD)",261
Burkina Faso,Exportations de biens et de services ($ US courants),3731626622
Burkina Faso,Exportations de marchandises ($ US courants),2875000000
Burkina Faso,Exportations de nourriture (% des marchandises exportées),13.21521935
Burkina Faso,Indice de la valeur des exportations (2000=100),1375.544761
Burkina Faso,Indice du volume des exportations (2000=100),652.2231676
Burundi,"Coût des procédures d’importation, formalités documentaires (USD)",1025
Burundi,"Coût des procédures d’importation, formalités douanières (USD)",443.5714
Burundi,Importations de biens et de services ($ US courants),740676811.3
Burundi,Importations de marchandises ($ US courants),755000000
Burundi,Importations de nourriture (% des marchandises importées),18.95842229
Burundi,Indice de la valeur des importations (2000=100),510.6372126
Burundi,Indice du volume des importations (2000=100),344.3747069
Burundi,"Coût des procédures d’exportation, formalités documentaires (USD)",150
